perf stat (native config, serial device, 2026-09-09): derived per-op metrics
(bytes/iter and iters from examples/profile_ops.rs; GB/s = total bytes / task-clock)
peak reference for FLOP/cyc: 32 DP FLOP/cycle/core (Zen 5, 2x512b FMA)
op                t_ms    GB/s   cyc/el   ins/el   IPC  L1miss%    LLCmiss  FLOP/cyc  %pk32   pgfault
triad           1857.9    38.8     3.53     0.81  0.23     43.3 55,797,652     0.567   1.8%    58,677
transpose        919.2     2.9    30.36   122.46  4.03      2.8 42,340,572 - -%   344,189
sum_axis0        154.9    17.3     2.61     2.90  1.11     12.9 19,087,573     0.383   1.2%     8,290
sum_axis1        143.9    69.9     0.64     0.84  1.31     20.2  3,337,942     1.559   4.9%     8,287
vecdot           331.4    48.3     1.88     3.13  1.66     22.5  3,751,644     1.063   3.3%    39,149
add_contig       674.1    14.9     9.15    12.87  1.41      8.0 91,845,587 - -%   843,963
argmax         14584.8     0.8    53.60   283.35  5.29      0.1  2,515,876 - -%    19,616
zeros              1.3 10091.6     0.00     0.01  1.77      2.5 - - -%       482
