| op | config | ms/iter | GB/s | ins/elem | cyc/elem | IPC | L1d-miss% | faults/iter |
|---|---|---|---|---|---|---|---|---|
| sum_axis0 | portable | 1.287 | 25.7 | 3.25 | 1.75 | 1.86 | nan | 13.8 |
| sum_axis1 | portable | 0.502 | 65.9 | 1.51 | 0.69 | 2.21 | nan | 5.5 |
| sum_all | portable | 0.477 | 69.3 | 1.34 | 0.65 | 2.06 | nan | 5.5 |
| min_axis0 | portable | 1.213 | 27.2 | 3.25 | 1.65 | 1.97 | nan | 13.8 |
| min_all_1e7 | portable | 1.312 | 57.3 | 2.12 | 0.79 | 2.69 | nan | 65.4 |
| sum_axis0 | native | 1.232 | 26.8 | 1.38 | 1.69 | 0.82 | nan | 13.8 |
| sum_axis1 | native | 0.470 | 70.3 | 0.76 | 0.64 | 1.18 | nan | 5.5 |
| sum_all | native | 0.452 | 73.0 | 0.58 | 0.62 | 0.94 | nan | 5.5 |
| min_axis0 | native | 1.546 | 21.4 | 1.37 | 2.12 | 0.65 | nan | 13.8 |
| min_all_1e7 | native | 1.308 | 57.5 | 0.43 | 0.79 | 0.55 | nan | 65.4 |
