=== round1_before ===
case,median_ns,min_ns
add_contig_1048576,142532,115492
add_contig_16777216,17166385,13532929
add_owned_reuse_1048576,104162,87272
add_owned_reuse_16777216,5847451,5492914
add_blocked2d_3layout_2048sq,3709978,3059048
add_blocked2d_2layout_inplace_2048sq,1337320,1164288
add_tallskinny_70x10000,224454,200103
fill_2p24,5502725,5404443
assign_perm3d,7163201,5926621
transpose_assign_4096sq,7351994,6945628
sum_contig_2p24,924774,775962
sum_strided_axis0_2048sq,109482,92821
vecdot_2p22,894754,881904
index_select_4096_of_8192x512,2300485,2279015
matmul_naive_i64_256sq,934814,897204
cdist_euclidean_512x3,70941,59061
cdist_weighted_euclidean_512x3,79051,69701
=== round1_after ===
case,median_ns,min_ns
add_contig_1048576,158912,124062
add_contig_16777216,15759373,13957336
add_owned_reuse_1048576,120352,87721
add_owned_reuse_16777216,5648578,5299461
add_blocked2d_3layout_2048sq,4092694,3804449
add_blocked2d_2layout_inplace_2048sq,980415,843403
add_tallskinny_70x10000,213843,210413
fill_2p24,5470704,5389783
assign_perm3d,7378374,6438099
transpose_assign_4096sq,7247102,6956738
sum_contig_2p24,983815,849423
sum_strided_axis0_2048sq,99272,87552
vecdot_2p22,862283,851793
index_select_4096_of_8192x512,2298716,2286245
matmul_naive_i64_256sq,880644,850063
cdist_euclidean_512x3,48561,44851
cdist_weighted_euclidean_512x3,55441,50771
=== round2_before ===
case,median_ns,min_ns
add_contig_1048576,145672,125112
add_contig_16777216,14067507,12358451
add_owned_reuse_1048576,114022,86742
add_owned_reuse_16777216,5674618,5280852
add_blocked2d_3layout_2048sq,3794519,2970116
add_blocked2d_2layout_inplace_2048sq,1171448,934464
add_tallskinny_70x10000,212403,208293
fill_2p24,5398633,5351072
assign_perm3d,8014204,7239932
transpose_assign_4096sq,7417565,7197412
sum_contig_2p24,792352,649800
sum_strided_axis0_2048sq,141102,110812
vecdot_2p22,883324,866363
index_select_4096_of_8192x512,2327216,2310905
matmul_naive_i64_256sq,1085846,1043206
cdist_euclidean_512x3,61841,56301
cdist_weighted_euclidean_512x3,71241,67601
=== round2_after ===
case,median_ns,min_ns
add_contig_1048576,160742,136803
add_contig_16777216,16756600,16108739
add_owned_reuse_1048576,119692,94822
add_owned_reuse_16777216,5623267,5400844
add_blocked2d_3layout_2048sq,3984191,3043017
add_blocked2d_2layout_inplace_2048sq,1167168,1031916
add_tallskinny_70x10000,228304,221233
fill_2p24,5394773,5293892
assign_perm3d,7188401,6487931
transpose_assign_4096sq,7213412,6870287
sum_contig_2p24,966205,792532
sum_strided_axis0_2048sq,117442,96452
vecdot_2p22,889334,859774
index_select_4096_of_8192x512,2350017,2337756
matmul_naive_i64_256sq,968305,951735
cdist_euclidean_512x3,56721,52161
cdist_weighted_euclidean_512x3,68291,64440
=== round3_before ===
case,median_ns,min_ns
add_contig_1048576,160532,132732
add_contig_16777216,14678257,12431983
add_owned_reuse_1048576,115382,97112
add_owned_reuse_16777216,5716519,5424504
add_blocked2d_3layout_2048sq,3596276,3372432
add_blocked2d_2layout_inplace_2048sq,688230,590379
add_tallskinny_70x10000,225124,200703
fill_2p24,5447564,5386893
assign_perm3d,6689943,6154835
transpose_assign_4096sq,7125951,6776225
sum_contig_2p24,951415,797182
sum_strided_axis0_2048sq,102391,88291
vecdot_2p22,873913,846703
index_select_4096_of_8192x512,2307166,2289885
matmul_naive_i64_256sq,907104,885354
cdist_euclidean_512x3,66651,57890
cdist_weighted_euclidean_512x3,80731,66941
=== round3_after ===
case,median_ns,min_ns
add_contig_1048576,143733,117402
add_contig_16777216,15602462,13008281
add_owned_reuse_1048576,114521,91901
add_owned_reuse_16777216,5786789,5560406
add_blocked2d_3layout_2048sq,3524275,2712642
add_blocked2d_2layout_inplace_2048sq,598769,554209
add_tallskinny_70x10000,227254,222814
fill_2p24,5485805,5361783
assign_perm3d,6453690,5811380
transpose_assign_4096sq,7239652,6999628
sum_contig_2p24,916384,821612
sum_strided_axis0_2048sq,112312,98162
vecdot_2p22,889424,868253
index_select_4096_of_8192x512,2305836,2287485
matmul_naive_i64_256sq,892104,860164
cdist_euclidean_512x3,47980,43570
cdist_weighted_euclidean_512x3,58201,51980
