=== round4_before ===
case,median_ns,min_ns
add_contig_1048576,137552,121882
add_contig_16777216,15688862,12957260
add_owned_reuse_1048576,116082,87171
add_owned_reuse_16777216,5675437,5329293
add_blocked2d_3layout_2048sq,3692937,2634840
add_blocked2d_2layout_inplace_2048sq,696021,600329
add_tallskinny_70x10000,194793,189433
fill_2p24,5432313,5368423
assign_perm3d,6584102,6119885
transpose_assign_4096sq,7230511,6948098
sum_contig_2p24,933994,758832
sum_strided_axis0_2048sq,101902,90261
vecdot_2p22,883993,862603
index_select_4096_of_8192x512,2318625,2298955
matmul_naive_i64_256sq,871004,847104
cdist_euclidean_512x3,49931,46191
cdist_weighted_euclidean_512x3,56021,52291
=== round4_after ===
case,median_ns,min_ns
add_contig_1048576,140343,133892
add_contig_16777216,16217971,13883435
add_owned_reuse_1048576,115062,95621
add_owned_reuse_16777216,5694008,5325522
add_blocked2d_3layout_2048sq,3551155,2943856
add_blocked2d_2layout_inplace_2048sq,650950,579839
add_tallskinny_70x10000,239194,228783
fill_2p24,5405064,3601536
assign_perm3d,6530021,5751509
transpose_assign_4096sq,7183571,6836536
sum_contig_2p24,876393,713411
sum_strided_axis0_2048sq,102682,93261
vecdot_2p22,890444,859954
index_select_4096_of_8192x512,2341267,2322606
matmul_naive_i64_256sq,880693,854814
cdist_euclidean_512x3,48581,44991
cdist_weighted_euclidean_512x3,54841,51621
=== round5_before ===
case,median_ns,min_ns
add_contig_1048576,148452,112692
add_contig_16777216,15734863,13257495
add_owned_reuse_1048576,119712,94562
add_owned_reuse_16777216,5604097,5367563
add_blocked2d_3layout_2048sq,3428973,2696882
add_blocked2d_2layout_inplace_2048sq,690571,604369
add_tallskinny_70x10000,238094,229513
fill_2p24,5501415,5384743
assign_perm3d,6665353,6149245
transpose_assign_4096sq,7280253,7015109
sum_contig_2p24,928325,803633
sum_strided_axis0_2048sq,101322,88592
vecdot_2p22,763181,641110
index_select_4096_of_8192x512,2396717,2376447
matmul_naive_i64_256sq,906494,886244
cdist_euclidean_512x3,65961,58871
cdist_weighted_euclidean_512x3,79021,68871
=== round5_after ===
case,median_ns,min_ns
add_contig_1048576,147192,123312
add_contig_16777216,15120634,12536744
add_owned_reuse_1048576,118072,92281
add_owned_reuse_16777216,5636437,5412114
add_blocked2d_3layout_2048sq,2848124,2442578
add_blocked2d_2layout_inplace_2048sq,679710,595139
add_tallskinny_70x10000,215484,211824
fill_2p24,5393113,5336842
assign_perm3d,6475991,5966792
transpose_assign_4096sq,7189731,6856986
sum_contig_2p24,883273,807263
sum_strided_axis0_2048sq,106102,92791
vecdot_2p22,894064,856533
index_select_4096_of_8192x512,2364237,2347567
matmul_naive_i64_256sq,906014,879084
cdist_euclidean_512x3,58551,54101
cdist_weighted_euclidean_512x3,72842,66081
=== round6_before ===
case,median_ns,min_ns
add_contig_1048576,147083,122632
add_contig_16777216,15603302,12636395
add_owned_reuse_1048576,117232,87152
add_owned_reuse_16777216,5730688,5499125
add_blocked2d_3layout_2048sq,3633946,3306301
add_blocked2d_2layout_inplace_2048sq,700001,600029
add_tallskinny_70x10000,202023,194913
fill_2p24,5418764,5383574
assign_perm3d,6281297,5701028
transpose_assign_4096sq,7179661,7035199
sum_contig_2p24,885764,697930
sum_strided_axis0_2048sq,101712,90512
vecdot_2p22,892814,871723
index_select_4096_of_8192x512,2348327,2334616
matmul_naive_i64_256sq,878554,859253
cdist_euclidean_512x3,51421,47820
cdist_weighted_euclidean_512x3,56261,53220
=== round6_after ===
case,median_ns,min_ns
add_contig_1048576,150322,129052
add_contig_16777216,15506849,12477543
add_owned_reuse_1048576,119302,101071
add_owned_reuse_16777216,5745959,5457814
add_blocked2d_3layout_2048sq,3683747,3489435
add_blocked2d_2layout_inplace_2048sq,651920,569629
add_tallskinny_70x10000,251014,220664
fill_2p24,5493365,5401843
assign_perm3d,6648902,6153945
transpose_assign_4096sq,7248902,6851337
sum_contig_2p24,853743,733211
sum_strided_axis0_2048sq,101981,86671
vecdot_2p22,876964,854824
index_select_4096_of_8192x512,2300756,2285106
matmul_naive_i64_256sq,888914,865073
cdist_euclidean_512x3,49461,45350
cdist_weighted_euclidean_512x3,55701,52200
